               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075874,            0.038071,                   0,             0.78428,             0.52628,             0.57586,             0.27362,            0.050976,            0.029921,                   0,            0.070018,           0.0033313,           0.0033313
                   1,            0.057004,            0.033964,                   0,             0.81472,             0.57079,             0.63046,             0.32715,            0.046401,             0.02875,                   0,            0.039886,           0.0065327,           0.0065327
                   2,            0.053657,            0.033487,                   0,             0.81347,             0.57956,             0.63723,              0.3271,              0.0456,            0.029093,                   0,           0.0096224,           0.0096021,           0.0096021
                   3,            0.050616,            0.033468,                   0,             0.82834,             0.60387,              0.6648,             0.35277,            0.043912,            0.028479,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.049166,            0.032853,                   0,             0.83391,             0.60539,             0.67009,             0.35637,            0.043336,            0.028351,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.048001,            0.032139,                   0,             0.83012,              0.6179,             0.67793,             0.36715,            0.042398,            0.028125,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.047381,             0.03198,                   0,              0.8413,             0.62797,              0.6909,             0.37501,            0.041994,            0.027796,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.046806,            0.032242,                   0,             0.84281,             0.63635,             0.69865,             0.38288,            0.041449,            0.027623,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.046159,            0.031351,                   0,             0.84888,             0.63472,             0.70065,             0.38448,            0.041301,            0.027425,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046163,            0.031294,                   0,             0.84494,             0.63935,             0.70033,              0.3857,            0.041104,            0.027474,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.045807,            0.031076,                   0,             0.85354,             0.64242,             0.70973,             0.39028,            0.040829,            0.027373,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045456,            0.031643,                   0,             0.84985,              0.6522,             0.71501,             0.39514,            0.040583,            0.027165,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.045322,            0.031253,                   0,             0.85308,             0.65076,             0.71533,             0.39681,             0.04039,            0.027247,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.045043,            0.031323,                   0,              0.8505,             0.65226,             0.71499,             0.39641,            0.040318,            0.027126,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.044942,               0.031,                   0,             0.84888,             0.65778,             0.71988,             0.40092,            0.040111,            0.027082,                   0,            0.007426,            0.007426,            0.007426
