               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078735,            0.039788,                   0,             0.73155,             0.50862,             0.55099,             0.22695,            0.058602,            0.030168,                   0,            0.070037,           0.0033293,           0.0033293
                   1,            0.060047,            0.035503,                   0,             0.80289,             0.56253,             0.61732,             0.26849,            0.053463,            0.029085,                   0,            0.039971,           0.0065966,           0.0065966
                   2,            0.056574,            0.035089,                   0,             0.80614,              0.5824,             0.63888,             0.30398,            0.049493,            0.029486,                   0,           0.0098386,            0.009798,            0.009798
                   3,            0.053011,            0.034609,                   0,             0.81985,             0.59683,             0.65217,             0.32916,            0.047218,            0.028877,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.051598,            0.034289,                   0,             0.82925,             0.60738,             0.66684,             0.34423,            0.045578,            0.028616,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050557,            0.033574,                   0,             0.82477,             0.59093,             0.65641,             0.33822,             0.04641,            0.029047,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.050056,            0.033487,                   0,             0.83148,             0.62106,             0.68148,             0.34731,            0.045554,            0.028392,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.049225,            0.033587,                   0,             0.83674,             0.63061,             0.69059,              0.3655,            0.044073,             0.02792,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048589,             0.03272,                   0,             0.83186,             0.63272,             0.69113,             0.36643,            0.044182,            0.027954,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048345,            0.032738,                   0,             0.83631,             0.63497,             0.69119,              0.3713,            0.043436,            0.027773,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048489,            0.032678,                   0,             0.84701,             0.63847,             0.70499,             0.37992,            0.043185,            0.027601,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048157,            0.032976,                   0,             0.84752,             0.64504,             0.70789,             0.37921,             0.04304,            0.027551,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.047793,            0.032688,                   0,             0.84841,             0.64241,             0.70526,             0.37926,            0.043002,            0.027489,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.047664,             0.03271,                   0,             0.84896,             0.64929,             0.70949,              0.3823,            0.042625,            0.027459,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04735,            0.032427,                   0,             0.84932,             0.65112,             0.71429,              0.3857,            0.042485,            0.027327,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.046937,            0.032308,                   0,             0.84978,             0.65084,             0.71636,             0.39109,            0.042225,            0.027191,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046916,            0.032592,                   0,             0.84957,              0.6544,             0.71866,             0.39259,            0.042065,            0.027205,                   0,            0.008515,            0.008515,            0.008515
                  17,              0.0472,            0.032407,                   0,             0.84987,             0.65624,             0.72006,              0.3934,            0.042039,              0.0271,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.046546,            0.032174,                   0,             0.85279,             0.66066,             0.72289,             0.39707,            0.041777,            0.027067,                   0,            0.008317,            0.008317,            0.008317
